No.,D:名前,表示名,S:生存者,S:フルネーム (あいうえお順),D:Name,S:Name (A-Y),D:生まれ年 (00-10),D:生年月日 (yyyy.mm.dd),S:生年月日 (yyyy.mm.dd),D:身長 (cm),S:身長 (cm),D:出身,S:出身,D:シグナルソングA-F,S:シグナルソングA-F,D:レベル分け評価A-F-候補,S:レベル分け評価A-F-候補,D:レベル分け評価チーム名,S:レベル分け評価チーム名,D:グループ評価チーム班,S:グループ評価チーム班,D:ポジション評価チーム曲,S:ポジション評価チーム曲,D:コンセプト評価チーム曲,S:コンセプト評価チーム曲,D:シグナルソングチッケム再生回数 (2026.05.23),S:シグナルソングチッケム再生回数 (2026.05.23),D:グループ評価チッケム再生回数 (2026.05.23),S:グループ評価チッケム再生回数 (2026.05.23),D:ポジション評価チッケム再生回数 (2026.05.23),S:ポジション評価チッケム再生回数 (2026.05.23),D:コンセプト評価チッケム再生回数 (2026.05.23),S:コンセプト評価チッケム再生回数 (2026.05.23),D:#5順位 (第1回順位発表式),S:#5順位 (第1回順位発表式),D:#8順位 (第2回順位発表式),S:#8順位 (第2回順位発表式),D:#10順位 (第3回順位発表式),S:#10順位 (第3回順位発表式),D:総合pt (第3回順位発表式),D:ベネ無しpt (第3回順位発表式),S:ベネ無し (第3回順位発表式),D:国民投票pt (第3回順位発表式),S:国民投票のみの順位 (第3回順位発表式),D:SEKAI投票pt (第3回順位発表式),S:SEKAI投票のみの順位 (第3回順位発表式),img
55,オシンヘン,オシンヘン,〇,おしんへん,SHINHAENG,SHINHAENG, (04) ,2004.05.03,2004/05/03,177,177,モクポ,AG,A,9,(B),26,たなぼた,273,Bite Me 1班,30,Doctor! Doctor!,33,BLACK ANGEL,32,118843,118843,31435,31435,141115,141115,41576,41576,5位 (1↑),5,7位 (ー),7,1位 (6↑),1,315128,"215,096",10,125315,17,89780,4,./img/trainees/imgi_58_ohshinhaeng.jpg
80,安部結蘭,安部結蘭,〇,あべゆら,YURA,YURA, (05) ,2005.06.16,2005/06/16,175,175,茨城県,08,A,14,(C),62,Pick-a-boo,371,Energetic 1班,54,Natural,18,BLACK ANGEL,35,477825,477825,63766,63766,152780,152780,45051,45051,3位 (1↑),3,2位 (2↑),2,2位 (ー),2,309760,"289,747",1,201685,3,88061,5,./img/trainees/imgi_83_abeyura.jpg
77,矢田佳暉,矢田佳暉,〇,やだよしき,YOSHIKI,YOSHIKI, (04) ,2004.06.18,2004/06/18,177,177,奈良県,29,B,21,(A),14,WEST KIDS,211,Energetic 1班,57,Doctor! Doctor!,32,Neko,22,279570,279570,87679,87679,227742,227742,64200,64200,4位 (1↓),4,5位 (1↑),5,3位 (2↑),3,281371,"281,340",2,131167,14,150172,1,./img/trainees/imgi_80_yadayoshiki.jpg
34,照井康祐,照井康祐,〇,てるいこうすけ,KOSUKE,KOSUKE, (07) ,2007.12.02,2007/12/02,174,174,千葉県,12,A,13,(C),49,FRESH-MEN,2,ラブシカ 1班,68,Super,6,Fuego,17,840101,840101,165349,165349,274186,274186,113108,113108,7位 (1↑),7,3位 (1↓),3,4位 (1↓),4,275646,"275,627",3,207714,2,67912,9,./img/trainees/imgi_37_teruikosuke.jpg
49,飯塚亮賀,飯塚亮賀,〇,いいづかりょうが,RYOGA,RYOGA, (05) ,2005.01.21,2005/01/21,175,175,群馬県,10,F,86,(C),54,FRESH-MEN,4,最高到達点2班,86,宿命,13,BLACK ANGEL,31,275984,275984,63803,63803,57414,57414,50308,50308,12位 (1↓),12,8位 (4↑),8,5位 (3↑),5,264597,"234,577",5,171106,6,63471,11,./img/trainees/imgi_52_iizukaryoga.jpg
60,パクシヨン,パクシヨン,〇,ぱくしよん,SIYOUNG,SIYOUNG, (03) ,2003.05.06,2003/05/06,178,178,キョンギド,AE,A,5,(A),12,たなぼた,271,Energetic 1班,55,Doctor! Doctor!,34,BLACK ANGEL,29,292307,292307,66025,66025,132583,132583,69125,69125,6位 (1↓),6,6位 (1↓),6,6位 (ー),6,262940,"222,918",9,136731,11,86186,6,./img/trainees/imgi_63_parksiyoung.jpg
42,チェンリッキー,リッキー,〇,ちぇんりっきー,RICKEY,RICKEY, (06) ,2006.02.09,2006/02/09,178,178,新竹,AC,D,66,(C),52,我的少年時代,353,唱 1班,41,Natural,20,Fuego,19,90312,90312,16972,16972,100945,100945,40548,40548,25位 (3↑),25,13位 (1↑),13,7位 (6↑),7,248522,"248,508",4,220740,1,27768,20,./img/trainees/imgi_45_chenrickey.jpg
19,柳谷伊冴,柳谷伊冴,〇,やなぎやいっさ,ISSA,ISSA, (05) ,2005.03.10,2005/03/10,177,177,群馬県,10,C,45,(C),40,フルスイング,332,Bite Me 2班,40,ベテルギウス,47,DREAMER,3,204593,204593,156833,156833,387190,387190,129402,129402,19位 (18↑),19,11位 (2↓),11,8位 (3↑),8,229608,"229,601",6,191035,4,38565,19,./img/trainees/imgi_22_yanagiyaissa.jpg
78,後藤結,後藤結,〇,ごとうゆうき,YUKI,YUKI, (07) ,2007.12.24,2007/12/24,180,180,神奈川県,14,C,55,(D),82,ミスターズ＆プリンス,241,Energetic 2班,63,宿命,15,BLACK ANGEL,33,271338,271338,106407,106407,77811,77811,108674,108674,17位 (ー),17,16位 (2↑),16,9位 (7↑),9,227684,"227,674",7,181124,5,46549,13,./img/trainees/imgi_81_gotoyuki.jpg
7,加藤大樹,加藤大樹,〇,かとうだいき,K.DAIKI,DAIKI, (04) ,2004.10.08,2004/10/08,178,178,愛知県,23,A,6,(B),17,RE:Shine,31,Energetic 1班,56,Doctor! Doctor!,31,Neko,24,697852,697852,71457,71457,118524,118524,54431,54431,1位 (1↑),1,1位 (ー),1,10位 (9↓),10,225289,"225,278",8,157868,7,67410,10,./img/trainees/imgi_10_katodaiki.jpg
66,熊部拓斗,熊部拓斗,〇,くまべたくと,K.TAKUTO,TAKUTO, (04) ,2004.09.06,2004/09/06,182,182,大阪府,27,D,74,(D),78,慶応Guys,181,Bite Me 2班,34,WORK HARD,41,DREAMER,7,162982,162982,55169,55169,135509,135509,33641,33641,9位 (ー),9,15位 (ー),15,11位 (4↑),11,195293,"195,271",11,156572,8,38698,18,./img/trainees/imgi_69_kumabetakuto.jpg
52,杉山竜司,杉山竜司,〇,すぎやまりゅうじ,RYUJI,RYUJI, (06) ,2006.07.07,2006/07/07,182,182,埼玉県,11,B,19,(A),10,Runway,202,Energetic 2班,61,DOMINANCE,1,KICK,14,143228,143228,82281,82281,50450,50450,33197,33197,23位 (2↑),23,10位 (1↑),10,12位 (2↓),12,194003,"193,994",12,143840,9,50154,12,./img/trainees/imgi_55_sugiyamaryuji.jpg
